,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy
59,Beach 2,Scene,6.32352941176471,0.935141909132241,4.13861386138614,1.86563502845705,53.13015625674903,11.550841682481675,8.558253767418732,3.4822911083332353
60,Beach 3,Scene,5.51485148514851,1.08271751981889,3.80582524271845,1.65717839826323,90.79327590707726,10.62618816994921,8.382112630508688,3.1414081309136446
61,Beach 4,Scene,5.92592592592593,0.973515680155425,3.625,1.74148413437828,66.6836736643713,10.598629250155202,8.00688999218619,3.264104646638296
62,Beach 5,Scene,5.59259259259259,1.23830632778806,3.35576923076923,1.56985107964034,100.33119713738247,12.101716576857427,8.620609505541935,3.7954697129329187
63,Beach 6,Scene,6.05555555555556,0.965123916631864,3.89423076923077,1.76766133266676,923.2468553428905,13.49195538201494,8.757621217982205,5.144396636273788
64,Beach 7,Scene,6.06862745098039,0.967387048402655,4.30693069306931,1.6837017209555,71.4666191443036,11.336972677557712,8.143239395706503,3.581781633597581
65,Beach 8,Scene,5.85294117647059,1.00884267408749,3.89108910891089,1.88627140199394,917.6956195969628,12.642801508558309,8.676554737143567,4.593285834410194
66,Bear 1,Animal,5.14814814814815,1.14234399793701,3.33653846153846,1.61070796062746,181.00250000313892,12.791791173447871,8.779501495272918,4.44809657671842
67,Bear 2,Animal,4.41666666666667,1.31933854851872,3.77884615384615,1.72337854436265,402.48191296377195,13.607012188406927,8.822051738467328,5.081667347872692
68,Bear 3,Animal,5.46534653465347,0.965032190506033,4.32038834951456,1.44990596201494,65.19225203351564,10.259017163916434,7.535760808872107,3.263597243152284
69,Bed 1,Object,4.01980198019802,0.916299056201653,2.99029126213592,1.72919082079649,140.31864283893594,10.81776999844952,7.830295084497488,3.951962459828857
70,Bee 1,Animal,3.64814814814815,1.4808106823333,3.61538461538462,1.7253545706098,330.34972383928243,12.143046650204614,8.148774577287426,4.363845113009935
71,Biking 1,Person,5.08823529411765,1.02544789708355,3.57425742574257,1.53848324432517,347.2380829447113,12.482721867141223,8.549689629063803,4.251881908333102
72,Billiards 1,Object,4.51960784313725,0.817268962803335,2.57425742574257,1.51885835187792,29.56845745249897,9.827679758361995,7.9188851816855825,2.409985868052467
73,Bird 1,Animal,5.90740740740741,1.00964541788252,3.00961538461538,1.73762024691227,232.40610217301756,11.836086384065618,8.578605177264038,3.890076967137304
74,Bird 2,Animal,5.47524752475248,1.1008547534161,3.69902912621359,1.54561334647136,635.6722525012426,13.388441834774447,8.395155672024234,5.26079333899813
75,Bird 3,Animal,6.03703703703704,0.956296652893371,3.43269230769231,1.71098349663739,934.0406907668713,13.66666316446398,8.4196982154055,5.497973530378905
76,Bird 4,Animal,5.54901960784314,1.06824044258588,3.57425742574257,1.73405037212571,858.6251620835646,14.11005258243403,8.721489157222273,5.6425213014932725
77,Bird 5,Animal,4.47058823529412,1.37665027773467,4.44554455445545,1.54580236462979,56.16385233939053,11.442054340420981,8.560345359314947,3.284134130168759
78,Birthday 1,Scene,5.7843137254902,0.950533471688317,3.45544554455446,1.63416493950426,84.44766921625202,11.565222465386299,8.400601987487224,3.4972703639666656
79,Birthday 2,Person,5.32673267326733,1.17566075796625,3.37864077669903,1.59113047033079,99.19383511383663,11.738368664713057,8.690095133858133,3.8899397357156955
