,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy,Cropped_Contrast,Cropped_Entropy,Cropped_Sum_Entropy,Cropped_Difference_Entropy,Sabattier_Contrast,Sabattier_Entropy,Sabattier_Sum_Entropy,Sabattier_Difference_Entropy,Blurred1_Contrast,Blurred1_Entropy,Blurred1_Sum_Entropy,Blurred1_Difference_Entropy,Blurred2_Contrast,Blurred2_Entropy,Blurred2_Sum_Entropy,Blurred2_Difference_Entropy,Pixelated_Contrast,Pixelated_Entropy,Pixelated_Sum_Entropy,Pixelated_Difference_Entropy,Sharpened_Contrast,Sharpened_Entropy,Sharpened_Sum_Entropy,Sharpened_Difference_Entropy
20,Angry pose 2,Person,2.80555555555556,0.999610516051438,3.72115384615385,1.7706163194941,180.32025957554188,4.427391866679937,3.297977702392118,2.150212269172247,157.69632995275856,3.923372083275426,3.03574595109301,1.9153321914919168,308.53556162952464,4.161321466306059,3.1859392108866973,2.2168598784077664,20.776926912722658,4.480576295608858,3.525601152787695,1.7696063838853069,6.6459379711804525,4.631103311220991,3.7907733961801533,1.6371140150065873,62.967248411610086,4.3406493693715635,3.316118744098773,1.8956382704261943,421.80133251779216,4.550255944953664,3.3363161295718027,2.3469323369415864
21,Animal carcass 1,Animal,2.72222222222222,1.2367679716003,3.76923076923077,2.0537948263999,842.4887281988783,13.890034427876646,8.392670728202404,5.844906827555353,1073.9929860580596,11.618255487834187,8.351113575705694,5.737762792398529,1499.513687522288,13.043832807253118,8.319309282528017,6.19173027113256,24.865717040597488,10.63151775782206,8.32657061679025,3.388711474827172,9.61612434769288,9.273144948765,8.039327654459061,2.5561289316493276,122.1400117471786,12.584723155741296,8.374742366002133,4.4972322275091425,2554.5740395433695,14.908395403023151,8.539427980305026,6.647958527026867
22,Animal carcass 2,Animal,3.25490196078431,1.39792119007456,4.02970297029703,1.68793036316404,458.511815229456,13.489019448261171,8.84149705091472,5.100879161568096,,,,,752.7006804687067,12.545116526739342,8.458594810365792,5.516672303107774,27.818605043420177,11.759044343882293,8.793919262478678,3.4477167431210454,9.62912013877379,10.924927982577884,8.744330538585885,2.777710553103044,101.86791459359816,12.794938956192457,8.795228540932072,4.277080462115824,1249.222672466486,14.145136873333513,8.832928637217695,5.650620808732253
23,Animal carcass 3,Animal,2.75,1.36117733536735,4.42307692307692,2.02744426469696,127.10091994829259,11.656549412334073,7.945739976855234,4.447163522103841,345.29724198890085,11.113029972836397,8.406932654580666,5.061008092915481,236.3916054188578,11.064713542434994,7.870316135046949,4.7377268812328985,18.389534273434087,9.593810763071332,7.934815455060066,3.0860829402433283,8.617668525647789,8.59937926888114,7.230030201100828,2.062254881348423,41.83541286457628,10.786232724325323,7.917842007737885,3.6905854352954126,256.3009323333383,12.335447016426347,7.906555222382269,4.913517510922237
24,Animal carcass 4,Animal,3.79411764705882,1.3667786460178,4.1980198019802,1.61876373804331,229.3866624489579,11.761274569394521,7.957340029953016,4.5144139021942005,157.8373890792105,11.990888240608697,8.404416626923037,4.520886772680183,351.9372446873698,10.84428124354569,7.664571290178576,4.75167551317471,13.966852107096395,9.703751898805537,7.877834537226869,2.9079696645914535,7.3818088124871295,8.854744165933933,7.827931542011385,2.4457535557213674,44.33374031082214,10.87465480440839,7.873178302518211,3.6004748063077523,593.9675190305418,12.49313477759407,7.893406028607391,5.035541198584802
25,Animal carcass 5,Animal,1.61764705882353,1.04402228312643,4.47524752475248,2.27417703535121,741.9349836609304,13.817508936488718,8.296933877233531,5.768215969616001,,,,,1117.9742171919024,12.492776181161474,7.8984486237915394,5.988674263509178,17.074238365201587,10.445924411385848,8.000467081963642,3.138468013326659,6.599439866575257,9.280229814894064,7.917585311545348,2.5266053448397523,97.86540681174381,12.364891590623085,8.24797453791765,4.33689910620012,2469.3307797870148,14.919945766346867,8.466184906876503,6.63954639229127
26,Animal carcass 6,Animal,2.39814814814815,1.47210710966729,4.72115384615385,2.17423898423508,333.3780980155798,12.541393241817428,8.464627676728208,4.8737597967551105,,,,,534.3226583800431,11.980796684320952,8.404036719887795,5.1528586659624835,15.271912245543714,10.2856690595912,8.395246787453095,2.879118404489916,5.99837660282972,9.634607095379797,8.330866833675685,2.373865211375813,55.298602002250064,11.45682501919429,8.364808041077856,3.7092224223562766,780.0444476716584,13.42278593570954,8.31492253307798,5.480334370794561
27,Archery 1,Person,4.29411764705882,1.27883173243532,3.75247524752475,1.54535394388509,114.50098728974228,11.679510750327026,8.567652761659806,3.495953576966437,170.7925049315711,12.567886407133173,8.707435635108787,4.474859688036769,283.71852992513834,10.909839614776278,8.417007690117986,3.995467988750729,15.58206275520966,10.68743770811821,8.53193706737564,2.777793915652456,7.043244088427482,10.213584849102638,8.472305034414337,2.4539995996573665,37.361108777705745,11.232722555106223,8.54059332337769,3.130894762116079,275.6415585161549,12.310292218962402,8.585990412932604,4.075519982488267
28,Archery 2,Person,4.81372549019608,0.972191483368331,3.45544554455446,1.62803410575607,156.273623164876,11.464260198420222,8.211413150380281,3.6588234804778583,235.0720738132017,10.328462496968971,7.693306513120641,3.870253524229862,309.3595867624974,10.709920263868078,8.139351093919512,4.207560002165821,26.020771458958016,10.33179952171847,8.303260935565627,3.060360117430699,11.759545509565497,9.767185933312936,8.313151502959716,2.6926447419005566,52.56980654542163,11.134988716483765,8.230714267963812,3.3635724561455205,363.0262934528202,12.20107434421027,8.258195962643686,4.27182845661228
29,Astronaut 1,Person,5.71296296296296,1.08559752206969,4.56730769230769,1.77230267132203,540.7825239068356,13.519432090071295,8.769131360781888,5.055019410447278,852.5691938074664,13.153364043835005,8.74576264971357,5.546817164661617,987.8345432958647,12.519080171821264,8.447040323343927,5.561118773016897,26.080677775978018,11.70159072402748,8.669679771801157,3.33463596204132,9.243956178648027,10.955142312719287,8.576468567311519,2.7376126950418076,107.33280025401672,12.743682849435139,8.77273675284762,4.211444765790862,1414.83968180785,14.360810234059933,8.830722582383114,5.901919493876813
